date,time,open,high,low,close,volume
2017.12.29,00:00,1.19418,1.20252,1.19358,1.19967,70557
2018.01.02,00:00,1.20095,1.20809,1.20008,1.20578,80036
2018.01.03,00:00,1.20575,1.20659,1.20010,1.20139,76877
2018.01.04,00:00,1.20139,1.20888,1.20041,1.20679,82896
2018.01.05,00:00,1.20665,1.20824,1.20203,1.20294,80962
2018.01.08,00:00,1.20243,1.20520,1.19556,1.19673,72065
2018.01.09,00:00,1.19660,1.19754,1.19155,1.19365,82944
2018.01.10,00:00,1.19357,1.20180,1.19229,1.19475,115785
2018.01.11,00:00,1.19462,1.20587,1.19290,1.20314,113962
2018.01.12,00:00,1.20305,1.22185,1.20305,1.22054,134186
2018.01.15,00:00,1.21923,1.22964,1.21874,1.22627,105318
2018.01.16,00:00,1.22626,1.22833,1.21950,1.22596,121633
2018.01.17,00:00,1.22599,1.23229,1.21769,1.21842,145728
2018.01.18,00:00,1.21842,1.22650,1.21649,1.22386,123770
2018.01.19,00:00,1.22366,1.22952,1.22148,1.22179,122882
2018.01.22,00:00,1.22694,1.22720,1.22136,1.22616,98963
2018.01.23,00:00,1.22607,1.23059,1.22227,1.22981,115513
2018.01.24,00:00,1.22976,1.24147,1.22909,1.24067,140155
2018.01.25,00:00,1.24067,1.25377,1.23637,1.23926,202434
2018.01.26,00:00,1.23925,1.24936,1.23698,1.24287,170003
2018.01.29,00:00,1.24229,1.24320,1.23366,1.23809,143496
2018.01.30,00:00,1.23808,1.24538,1.23345,1.24019,149016
2018.01.31,00:00,1.24006,1.24746,1.23865,1.24130,169516
2018.02.01,00:00,1.24128,1.25226,1.23850,1.25072,145923
2018.02.02,00:00,1.25069,1.25179,1.24091,1.24549,157925
2018.02.05,00:00,1.24310,1.24747,1.23625,1.23666,161820
2018.02.06,00:00,1.23655,1.24344,1.23136,1.23767,222548
2018.02.07,00:00,1.23753,1.24060,1.22455,1.22621,152815
2018.02.08,00:00,1.22619,1.22948,1.22119,1.22468,191014
2018.02.09,00:00,1.22454,1.22871,1.22054,1.22513,180048
2018.02.12,00:00,1.22482,1.22970,1.22348,1.22904,112940
2018.02.13,00:00,1.22896,1.23709,1.22845,1.23497,121607
2018.02.14,00:00,1.23496,1.24649,1.22756,1.24491,155849
2018.02.15,00:00,1.24487,1.25102,1.24477,1.25061,138904
2018.02.16,00:00,1.25043,1.25553,1.23931,1.24102,142791
2018.02.19,00:00,1.24011,1.24350,1.23688,1.24069,94076
2018.02.20,00:00,1.24062,1.24121,1.23196,1.23367,125971
2018.02.21,00:00,1.23363,1.23597,1.22808,1.22821,138926
2018.02.22,00:00,1.22815,1.23518,1.22593,1.23290,128229
2018.02.23,00:00,1.23284,1.23368,1.22796,1.22943,104697
2018.02.26,00:00,1.22931,1.23550,1.22776,1.23170,105850
2018.02.27,00:00,1.23161,1.23463,1.22213,1.22317,127536
2018.02.28,00:00,1.22319,1.22415,1.21876,1.21929,119604
2018.03.01,00:00,1.21921,1.22729,1.21544,1.22648,145247
2018.03.02,00:00,1.22647,1.23357,1.22512,1.23183,134066
2018.03.05,00:00,1.23277,1.23642,1.22687,1.23355,123258
2018.03.06,00:00,1.23347,1.24202,1.23280,1.24030,120492
2018.03.07,00:00,1.24031,1.24449,1.23846,1.24108,132230
2018.03.08,00:00,1.24099,1.24461,1.22977,1.23102,134480
2018.03.09,00:00,1.23101,1.23341,1.22729,1.23049,119101
2018.03.12,00:00,1.23091,1.23453,1.22901,1.23319,90582
2018.03.13,00:00,1.23319,1.24072,1.23142,1.23888,113962
2018.03.14,00:00,1.23896,1.24124,1.23469,1.23662,109389
2018.03.15,00:00,1.23663,1.23834,1.22999,1.23039,110220
2018.03.16,00:00,1.23032,1.23358,1.22599,1.22868,97028
2018.03.19,00:00,1.22805,1.23585,1.22578,1.23350,111294
2018.03.20,00:00,1.23351,1.23546,1.22395,1.22410,111232
2018.03.21,00:00,1.22398,1.23496,1.22398,1.23376,123326
2018.03.22,00:00,1.23368,1.23884,1.22853,1.23014,139518
2018.03.23,00:00,1.23011,1.23733,1.22990,1.23534,130865
2018.03.26,00:00,1.23468,1.24614,1.23468,1.24435,108909
2018.03.27,00:00,1.24424,1.24762,1.23721,1.24023,118406
2018.03.28,00:00,1.24014,1.24214,1.22999,1.23076,126432
2018.03.29,00:00,1.23065,1.23355,1.22837,1.23002,111154
2018.03.30,00:00,1.22990,1.23303,1.22902,1.23149,31708
2018.04.02,00:00,1.23205,1.23448,1.22816,1.23016,61245
2018.04.03,00:00,1.23002,1.23360,1.22534,1.22690,105854
2018.04.04,00:00,1.22685,1.23144,1.22568,1.22778,103647
2018.04.05,00:00,1.22765,1.22901,1.22181,1.22389,96818
2018.04.06,00:00,1.22387,1.22907,1.22148,1.22798,135929
2018.04.09,00:00,1.22837,1.23301,1.22600,1.23202,109570
2018.04.10,00:00,1.23191,1.23771,1.23025,1.23554,120345
2018.04.11,00:00,1.23543,1.23961,1.23467,1.23667,109992
2018.04.12,00:00,1.23656,1.23795,1.22990,1.23259,111505
2018.04.13,00:00,1.23247,1.23457,1.23068,1.23270,92525
2018.04.16,00:00,1.23300,1.23944,1.23218,1.23791,81330
2018.04.17,00:00,1.23778,1.24136,1.23359,1.23689,87316
2018.04.18,00:00,1.23680,1.23970,1.23416,1.23734,98325
2018.04.19,00:00,1.23725,1.24001,1.23289,1.23449,108459
2018.04.20,00:00,1.23440,1.23527,1.22497,1.22871,95086
2018.04.23,00:00,1.22697,1.22891,1.21973,1.22082,91239
2018.04.24,00:00,1.22071,1.22447,1.21816,1.22311,101549
2018.04.25,00:00,1.22306,1.22383,1.21598,1.21600,95507
2018.04.26,00:00,1.21593,1.22096,1.20960,1.21029,116441
2018.04.27,00:00,1.21020,1.21326,1.20551,1.21293,103295
2018.04.30,00:00,1.21223,1.21385,1.20642,1.20774,97611
2018.05.01,00:00,1.20761,1.20840,1.19812,1.19914,89976
2018.05.02,00:00,1.19915,1.20315,1.19378,1.19501,132319
2018.05.03,00:00,1.19498,1.20086,1.19476,1.19879,130883
2018.05.04,00:00,1.19869,1.19952,1.19102,1.19621,104267
2018.05.07,00:00,1.19548,1.19779,1.18974,1.19218,79547
2018.05.08,00:00,1.19217,1.19386,1.18379,1.18633,111194
2018.05.09,00:00,1.18633,1.18968,1.18225,1.18501,106504
2018.05.10,00:00,1.18497,1.19465,1.18427,1.19153,127578
2018.05.11,00:00,1.19142,1.19676,1.18910,1.19389,97102
2018.05.14,00:00,1.19378,1.19960,1.19259,1.19263,95125
2018.05.15,00:00,1.19257,1.19382,1.18199,1.18374,124897
2018.05.16,00:00,1.18369,1.18538,1.17632,1.18065,137244
2018.05.17,00:00,1.18059,1.18373,1.17763,1.17928,123644
2018.05.18,00:00,1.17929,1.18219,1.17496,1.17699,95558
2018.05.21,00:00,1.17667,1.17953,1.17164,1.17911,90118
2018.05.22,00:00,1.17906,1.18296,1.17563,1.17781,100509
2018.05.23,00:00,1.17771,1.17893,1.16756,1.16952,134660
2018.05.24,00:00,1.16945,1.17502,1.16905,1.17189,122486
2018.05.25,00:00,1.17188,1.17332,1.16456,1.16485,117738
2018.05.28,00:00,1.16840,1.17282,1.16072,1.16242,93816
2018.05.29,00:00,1.16228,1.16395,1.15098,1.15392,159173
2018.05.30,00:00,1.15388,1.16760,1.15184,1.16620,154304
2018.05.31,00:00,1.16620,1.17241,1.16409,1.16900,137062
2018.06.01,00:00,1.16898,1.17179,1.16169,1.16600,124148
2018.06.04,00:00,1.16557,1.17443,1.16557,1.16979,104984
2018.06.05,00:00,1.16968,1.17318,1.16523,1.17168,123504
2018.06.06,00:00,1.17161,1.17955,1.17102,1.17732,116597
2018.06.07,00:00,1.17731,1.18397,1.17723,1.17974,125305
2018.06.08,00:00,1.17974,1.18100,1.17269,1.17689,118004
2018.06.11,00:00,1.17738,1.18205,1.17709,1.17851,92331
2018.06.12,00:00,1.17818,1.18089,1.17332,1.17447,114502
2018.06.13,00:00,1.17440,1.18009,1.17251,1.17912,109763
2018.06.14,00:00,1.17903,1.18514,1.15625,1.15663,138577
2018.06.15,00:00,1.15648,1.16268,1.15430,1.16071,128875
2018.06.18,00:00,1.15859,1.16240,1.15651,1.16220,92338
2018.06.19,00:00,1.16218,1.16443,1.15304,1.15871,136492
2018.06.20,00:00,1.15871,1.15998,1.15366,1.15698,114196
2018.06.21,00:00,1.15684,1.16332,1.15082,1.16025,143879
2018.06.22,00:00,1.15973,1.16748,1.15973,1.16562,132567
2018.06.25,00:00,1.16618,1.17128,1.16283,1.17031,124689
2018.06.26,00:00,1.17030,1.17203,1.16346,1.16460,137959
2018.06.27,00:00,1.16454,1.16719,1.15404,1.15528,143588
2018.06.28,00:00,1.15515,1.16005,1.15270,1.15673,146347
2018.06.29,00:00,1.15668,1.16901,1.15580,1.16845,157180
2018.07.02,00:00,1.16733,1.16882,1.15911,1.16388,103196
2018.07.03,00:00,1.16385,1.16730,1.16203,1.16553,106158
2018.07.04,00:00,1.16543,1.16816,1.16304,1.16556,81279
2018.07.05,00:00,1.16552,1.17201,1.16498,1.16897,114700
2018.07.06,00:00,1.16892,1.17673,1.16798,1.17429,101226
2018.07.09,00:00,1.17377,1.17904,1.17323,1.17498,99871
2018.07.10,00:00,1.17499,1.17624,1.16900,1.17439,94539
2018.07.11,00:00,1.17424,1.17579,1.16650,1.16714,125175
2018.07.12,00:00,1.16712,1.16953,1.16493,1.16698,104916
2018.07.13,00:00,1.16694,1.16864,1.16127,1.16849,99979
2018.07.16,00:00,1.16891,1.17252,1.16755,1.17109,91358
2018.07.17,00:00,1.17099,1.17445,1.16493,1.16603,106884
2018.07.18,00:00,1.16592,1.16648,1.16018,1.16384,105647
2018.07.19,00:00,1.16377,1.16783,1.15747,1.16411,136085
2018.07.20,00:00,1.16403,1.17386,1.16260,1.17205,147062
2018.07.23,00:00,1.17247,1.17507,1.16834,1.16908,88056
2018.07.24,00:00,1.16906,1.17166,1.16543,1.16833,94662
2018.07.25,00:00,1.16824,1.17383,1.16638,1.17282,100422
2018.07.26,00:00,1.17251,1.17435,1.16399,1.16422,96833
2018.07.27,00:00,1.16421,1.16640,1.16200,1.16549,83700
2018.07.30,00:00,1.16567,1.17186,1.16479,1.17038,65578
2018.07.31,00:00,1.17031,1.17458,1.16836,1.16899,90217
2018.08.01,00:00,1.16899,1.16995,1.16570,1.16585,84387
2018.08.02,00:00,1.16584,1.16674,1.15815,1.15837,81922
2018.08.03,00:00,1.15837,1.16104,1.15599,1.15664,88586
2018.08.06,00:00,1.15665,1.15702,1.15298,1.15529,64377
2018.08.07,00:00,1.15521,1.16080,1.15487,1.15980,68312
2018.08.08,00:00,1.15976,1.16281,1.15730,1.16095,66666
2018.08.09,00:00,1.16095,1.16191,1.15256,1.15262,77237
2018.08.10,00:00,1.15254,1.15361,1.13878,1.14076,146950
2018.08.13,00:00,1.13712,1.14327,1.13647,1.14095,132926
2018.08.14,00:00,1.14095,1.14292,1.13299,1.13426,111896
2018.08.15,00:00,1.13429,1.13548,1.13009,1.13453,113446
2018.08.16,00:00,1.13441,1.14089,1.13356,1.13761,120344
2018.08.17,00:00,1.13757,1.14446,1.13663,1.14384,99578
2018.08.20,00:00,1.14369,1.14846,1.13941,1.14800,83987
2018.08.21,00:00,1.14799,1.16010,1.14783,1.15702,113268
2018.08.22,00:00,1.15700,1.16227,1.15530,1.15966,99726
2018.08.23,00:00,1.15952,1.15992,1.15297,1.15361,98766
2018.08.24,00:00,1.15350,1.16397,1.15345,1.16210,100098
2018.08.27,00:00,1.16158,1.16934,1.15944,1.16771,81633
2018.08.28,00:00,1.16770,1.17333,1.16624,1.16940,97836
2018.08.29,00:00,1.16932,1.17099,1.16517,1.17068,103807
2018.08.30,00:00,1.17056,1.17180,1.16416,1.16705,102984
2018.08.31,00:00,1.16705,1.16899,1.15844,1.16030,110339
2018.09.03,00:00,1.15945,1.16276,1.15887,1.16173,65462
2018.09.04,00:00,1.16162,1.16190,1.15299,1.15807,97711
2018.09.05,00:00,1.15792,1.16401,1.15425,1.16292,105549
2018.09.06,00:00,1.16285,1.16590,1.16052,1.16224,104638
2018.09.07,00:00,1.16213,1.16492,1.15503,1.15529,105597
2018.09.10,00:00,1.15488,1.16159,1.15259,1.15916,79022
2018.09.11,00:00,1.15915,1.16440,1.15653,1.16033,83802
2018.09.12,00:00,1.16036,1.16495,1.15699,1.16256,89686
2018.09.13,00:00,1.16247,1.17008,1.16089,1.16898,90093
2018.09.14,00:00,1.16892,1.17214,1.16205,1.16221,83460
2018.09.17,00:00,1.16225,1.16978,1.16176,1.16822,69692
2018.09.18,00:00,1.16815,1.17242,1.16519,1.16640,102964
2018.09.19,00:00,1.16619,1.17146,1.16497,1.16718,91193
2018.09.20,00:00,1.16711,1.17842,1.16686,1.17766,104931
2018.09.21,00:00,1.17763,1.18025,1.17324,1.17539,91919
2018.09.24,00:00,1.17408,1.18149,1.17239,1.17472,78935
2018.09.25,00:00,1.17472,1.17923,1.17307,1.17658,88030
2018.09.26,00:00,1.17655,1.17977,1.17257,1.17370,101661
2018.09.27,00:00,1.17357,1.17569,1.16388,1.16403,115380
2018.09.28,00:00,1.16404,1.16510,1.15697,1.16025,103510
2018.10.01,00:00,1.16163,1.16242,1.15633,1.15776,91557
2018.10.02,00:00,1.15776,1.15799,1.15050,1.15481,104799
2018.10.03,00:00,1.15468,1.15933,1.14640,1.14765,118584
2018.10.04,00:00,1.14750,1.15425,1.14631,1.15138,116491
2018.10.05,00:00,1.15129,1.15493,1.14838,1.15184,108251
2018.10.08,00:00,1.15209,1.15293,1.14595,1.14908,81259
2018.10.09,00:00,1.14901,1.15031,1.14320,1.14904,114632
2018.10.10,00:00,1.14885,1.15450,1.14796,1.15182,109030
2018.10.11,00:00,1.15182,1.15990,1.15179,1.15933,159860
2018.10.12,00:00,1.15856,1.16102,1.15339,1.15575,109676
2018.10.15,00:00,1.15412,1.16060,1.15409,1.15791,101052
2018.10.16,00:00,1.15791,1.16211,1.15658,1.15733,100174
2018.10.17,00:00,1.15727,1.15802,1.14957,1.14998,112142
2018.10.18,00:00,1.15000,1.15270,1.14490,1.14526,119325
2018.10.19,00:00,1.14526,1.15344,1.14327,1.15144,116051
2018.10.22,00:00,1.15150,1.15499,1.14556,1.14638,99622
2018.10.23,00:00,1.14638,1.14934,1.14390,1.14698,119849
2018.10.24,00:00,1.14709,1.14764,1.13784,1.13916,120662
2018.10.25,00:00,1.13911,1.14322,1.13559,1.13740,119679
2018.10.26,00:00,1.13739,1.14207,1.13354,1.14024,129447
2018.10.29,00:00,1.13909,1.14162,1.13605,1.13725,106729
2018.10.30,00:00,1.13717,1.13876,1.13403,1.13434,100916
2018.10.31,00:00,1.13427,1.13600,1.13019,1.13114,104990
2018.11.01,00:00,1.13103,1.14239,1.13070,1.14081,113803
2018.11.02,00:00,1.14077,1.14556,1.13722,1.13864,116797
2018.11.05,00:00,1.13866,1.14239,1.13530,1.14064,93448
2018.11.06,00:00,1.14061,1.14375,1.13912,1.14255,94665
